,Exp #,Batch,Mesh #,Velocity,Density,Exp Complete?
623,623,4,8,0.35,4,True
624,624,4,9,0.05,1,True
625,625,4,9,0.15,1,True
626,626,4,9,0.25,1,True
627,627,4,9,0.35,1,True
628,628,4,9,0.05,2,True
629,629,4,9,0.15,2,True
630,630,4,9,0.25,2,True
631,631,4,9,0.35,2,True
632,632,4,9,0.05,3,True
633,633,4,9,0.15,3,True
634,634,4,9,0.25,3,True
635,635,4,9,0.35,3,True
636,636,4,9,0.05,4,True
637,637,4,9,0.15,4,True
638,638,4,9,0.25,4,True
639,639,4,9,0.35,4,True
640,640,5,0,0.05,1,True
641,641,5,0,0.15,1,True
642,642,5,0,0.25,1,True
643,643,5,0,0.35,1,True
644,644,5,0,0.05,2,True
645,645,5,0,0.15,2,True
646,646,5,0,0.25,2,True
647,647,5,0,0.35,2,True
648,648,5,0,0.05,3,True
649,649,5,0,0.15,3,True
650,650,5,0,0.25,3,True
651,651,5,0,0.35,3,True
652,652,5,0,0.05,4,True
653,653,5,0,0.15,4,True
654,654,5,0,0.25,4,True
655,655,5,0,0.35,4,True
656,656,5,1,0.05,1,True
657,657,5,1,0.15,1,True
658,658,5,1,0.25,1,True
659,659,5,1,0.35,1,True
660,660,5,1,0.05,2,True
661,661,5,1,0.15,2,True
662,662,5,1,0.25,2,True
663,663,5,1,0.35,2,True
664,664,5,1,0.05,3,True
665,665,5,1,0.15,3,True
666,666,5,1,0.25,3,True
667,667,5,1,0.35,3,True
668,668,5,1,0.05,4,True
669,669,5,1,0.15,4,True
670,670,5,1,0.25,4,True
671,671,5,1,0.35,4,True
672,672,5,2,0.05,1,True
673,673,5,2,0.15,1,True
674,674,5,2,0.25,1,True
675,675,5,2,0.35,1,True
676,676,5,2,0.05,2,True
677,677,5,2,0.15,2,True
678,678,5,2,0.25,2,True
679,679,5,2,0.35,2,True
680,680,5,2,0.05,3,True
681,681,5,2,0.15,3,True
682,682,5,2,0.25,3,True
683,683,5,2,0.35,3,True
684,684,5,2,0.05,4,True
685,685,5,2,0.15,4,True
686,686,5,2,0.25,4,True
687,687,5,2,0.35,4,True
688,688,5,3,0.05,1,True
689,689,5,3,0.15,1,True
690,690,5,3,0.25,1,True
691,691,5,3,0.35,1,True
692,692,5,3,0.05,2,True
693,693,5,3,0.15,2,True
694,694,5,3,0.25,2,True
695,695,5,3,0.35,2,True
696,696,5,3,0.05,3,True
697,697,5,3,0.15,3,True
698,698,5,3,0.25,3,True
699,699,5,3,0.35,3,True
700,700,5,3,0.05,4,True
701,701,5,3,0.15,4,True
702,702,5,3,0.25,4,True
703,703,5,3,0.35,4,True
704,704,5,4,0.05,1,True
705,705,5,4,0.15,1,True
706,706,5,4,0.25,1,True
707,707,5,4,0.35,1,True
708,708,5,4,0.05,2,True
709,709,5,4,0.15,2,True
